"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 23 20:41:19 CEST 2024","Wed Oct 23 20:41:20 CEST 2024","900","tests","test_user_get","TestUserGet","","","test_get_user_details_not_auth",""
"passed","Wed Oct 23 20:41:09 CEST 2024","Wed Oct 23 20:41:10 CEST 2024","896","tests","test_user_edit","TestUserEditNegative","","","test_edit_user_unauthorized","An attempt to edit user data without authorization"
"passed","Wed Oct 23 20:41:17 CEST 2024","Wed Oct 23 20:41:19 CEST 2024","1969","tests","test_user_edit","TestUserEditNegative","","","test_edit_user_firstName_short_value","Trying to edit user's firstName with a very short value"
"passed","Wed Oct 23 20:41:29 CEST 2024","Wed Oct 23 20:41:30 CEST 2024","762","tests","test_user_register","TestUserRegister","","","test_user_create_missing_field[lastName]","Creating a user without specifying one of the fields. Parameterized test to check theabsence of each of the fields"
"passed","Wed Oct 23 20:40:57 CEST 2024","Wed Oct 23 20:40:58 CEST 2024","403","tests","test_user_auth","TestUserAuth","","","test_negative_check[no_token]","This test checks authorization status without sending auth cookie or token"
"passed","Wed Oct 23 20:41:24 CEST 2024","Wed Oct 23 20:41:25 CEST 2024","796","tests","test_user_register","TestUserRegister","","","test_user_create_successfully","Successful user creation"
"passed","Wed Oct 23 20:41:30 CEST 2024","Wed Oct 23 20:41:31 CEST 2024","787","tests","test_user_register","TestUserRegister","","","test_user_create_short_name","Сreating a user with a very short name of one character"
"passed","Wed Oct 23 20:41:27 CEST 2024","Wed Oct 23 20:41:28 CEST 2024","771","tests","test_user_register","TestUserRegister","","","test_user_create_missing_field[password]","Creating a user without specifying one of the fields. Parameterized test to check theabsence of each of the fields"
"passed","Wed Oct 23 20:41:26 CEST 2024","Wed Oct 23 20:41:27 CEST 2024","784","tests","test_user_register","TestUserRegister","","","test_invalid_email","Сreating a user with an incorrect email (without the @ symbol)"
"passed","Wed Oct 23 20:40:56 CEST 2024","Wed Oct 23 20:40:56 CEST 2024","411","tests","test_user_auth","TestUserAuth","","","test_auth_user","This test successfully autorize user by email and password"
"passed","Wed Oct 23 20:41:28 CEST 2024","Wed Oct 23 20:41:29 CEST 2024","768","tests","test_user_register","TestUserRegister","","","test_user_create_missing_field[firstName]","Creating a user without specifying one of the fields. Parameterized test to check theabsence of each of the fields"
"passed","Wed Oct 23 20:41:12 CEST 2024","Wed Oct 23 20:41:15 CEST 2024","2809","tests","test_user_edit","TestUserEditNegative","","","test_edit_another_user_data_check_response_text","Checking the server response when trying to edit another user's data"
"passed","Wed Oct 23 20:41:25 CEST 2024","Wed Oct 23 20:41:26 CEST 2024","767","tests","test_user_register","TestUserRegister","","","test_creating_user_with_existing_email","User registration with existing email"
"passed","Wed Oct 23 20:41:20 CEST 2024","Wed Oct 23 20:41:21 CEST 2024","1148","tests","test_user_get","TestUserGet","","","test_get_user_details_auth_as_same_user",""
"passed","Wed Oct 23 20:41:27 CEST 2024","Wed Oct 23 20:41:27 CEST 2024","778","tests","test_user_register","TestUserRegister","","","test_user_create_missing_field[username]","Creating a user without specifying one of the fields. Parameterized test to check theabsence of each of the fields"
"passed","Wed Oct 23 20:41:31 CEST 2024","Wed Oct 23 20:41:32 CEST 2024","782","tests","test_user_register","TestUserRegister","","","test_user_create_long_name","Creating a user with a very long name (longer than 250 characters)"
"passed","Wed Oct 23 20:41:03 CEST 2024","Wed Oct 23 20:41:06 CEST 2024","2946","tests","test_user_delete","TestUserDelete","","","test_delete_user_by_another_user","Negative test for deleting a user by another user"
"passed","Wed Oct 23 20:41:06 CEST 2024","Wed Oct 23 20:41:09 CEST 2024","2779","tests","test_user_edit","TestUserEdit","","","test_edit_just_created_user",""
"passed","Wed Oct 23 20:41:30 CEST 2024","Wed Oct 23 20:41:30 CEST 2024","778","tests","test_user_register","TestUserRegister","","","test_user_create_missing_field[email]","Creating a user without specifying one of the fields. Parameterized test to check theabsence of each of the fields"
"passed","Wed Oct 23 20:40:59 CEST 2024","Wed Oct 23 20:41:03 CEST 2024","3874","tests","test_user_delete","TestUserDelete","","","test_delete_user_successfully","Positive user deletion test"
"passed","Wed Oct 23 20:40:58 CEST 2024","Wed Oct 23 20:40:59 CEST 2024","1226","tests","test_user_delete","TestUserDelete","","","test_delete_user_by_id_2","Attempt to delete user with ID 2"
"passed","Wed Oct 23 20:41:21 CEST 2024","Wed Oct 23 20:41:24 CEST 2024","2736","tests","test_user_get","TestUserGetAnotherUser","","","test_get_another_user_details",""
"failed","Wed Oct 23 20:41:10 CEST 2024","Wed Oct 23 20:41:12 CEST 2024","2706","tests","test_user_edit","TestUserEditNegative","","","test_edit_another_user_data","Trying to edit another user's data"
"passed","Wed Oct 23 20:40:57 CEST 2024","Wed Oct 23 20:40:57 CEST 2024","387","tests","test_user_auth","TestUserAuth","","","test_negative_check[no_cookie]","This test checks authorization status without sending auth cookie or token"
"passed","Wed Oct 23 20:41:15 CEST 2024","Wed Oct 23 20:41:17 CEST 2024","2019","tests","test_user_edit","TestUserEditNegative","","","test_edit_user_email_invalid_format","Attempt to edit user email with incorrect format"
